Name,Concentration,Response,Size
nCuO_c,0.35,10.354,40
nCuO_c,0.6,39.634,40
nCuO_c,1.25,45.702,40
nCuO_c,2.474,85.714,40
nCuO_c,4.999,86.057,40
nCuO_c,10.075,100,40
nCuO_c,0.249,25.371,40
nCuO_c,0.65,74.982,40
nCuO_c,1.224,98.914,40
nCuO_c,2.524,95.005,40
nCuO_c,5.073,98.571,40
nCuO_c,9.998,98.228,40
nCuO_g,0.319889511,1.574,80
nCuO_g,1.581248039,20.503,80
nCuO_g,3.147748314,80.136,80
nCuO_g,9.638290236,100,80
nCuO_g,15.34616983,100,80
nCuO_d,1.45881426,13.568,40
nCuO_d,2.432204009,60.268,40
nCuO_d,3.411929116,73.503,40
nCuO_d,4.335108784,100,40
nCuO_d,4.920395357,100,40
nCuO_a,0.030974193,20.2,25
nCuO_a,0.065614527,53.938,25
nCuO_a,0.096382902,94.34,25
nCuO_a,0.126473635,100,25
nCuO_a,0.160694125,100,25
nCuo_f,0.794328235,1.2,50
nCuo_f,1.606941253,10.714,50
nCuo_f,3.155004623,40.171,50
nCuo_f,6.397348355,47.028,50
nCuo_f,12.38796587,67.857,50
nCuo_f,25.06109253,98.8,50
nCuO_e,0.625,39.634,40
nCuO_e,1.25,55.371,40
nCuO_e,2.445,84.651,40
nCuO_e,4.945,99.634,40
nCuO_e,9.945,100,40
nCuO_e,20.05,100,40
nCuO_e,0.52,10.011,40
nCuO_e,1.145,25.371,40
nCuO_e,2.395,54.651,40
nCuO_e,4.895,84.994,40
nCuO_e,9.945,100,40
nCuO_e,19.945,100,40
nCuO_e,0.52,2.16,40
nCuO_e,1.195,15.36,40
nCuO_e,2.445,35.725,40
nCuO_e,4.895,55.714,40
nCuO_e,9.79,65.348,40
nCuO_e,19.945,89.657,40
nCuO_b,1.537,36,30
nCuO_b,3.015,51.2,30
nCuO_b,5.896,60.428,30
nCuO_b,7.461,81.257,30
nCuO_b,9.44,99.4,30
